UserID,Status_Accepted,commentBody,ApproveDate,RecommendationCount,Location,DisplayName,UserComments,TimesPeople,CommentSequence,EditorsSelection,ArticleRelevance,ConversationalRelevance,PersonalXP,Readability,Brevity,RecommendationScore,Latitude,Longitude,AVGPersonalXP,AVGReadability,AVGBrevity,AVGRecommendationScore,AVGPicks,AVGcommentspermonth
60215558,approved,"This may seem tangential but I think it needs pointing to as it is just as important as the issue on the table here;<br/>The intelligence and perceptiveness shown in this great speech is IMO clear evidence that Mr. Comey is more than capable of comprehending how wrong his policies and ideas about privacy are.<br/><a href=\""http://www.nytimes.com/2014/10/17/us/politics/fbi-director-in-policy-speech-calls-dark-devices-hindrance-to-crime-solving.html\"" title=\""http://www.nytimes.com/2014/10/17/us/politics/fbi-director-in-policy-speech-calls-dark-devices-hindrance-to-crime-solving.html\"" target=\""_blank\"">http://www.nytimes.com/2014/10/17/us/politics/fbi-director-in-policy-spe...</a>",1423762913,3,earth,magicisnotreal,api.nytimes.com/svc/community/v2/comments/user/id/60215558.xml,1,14117900,0,17.01370643,0,12.12121202,57.17539863,19.36619718,17.43104403,34.233137,-102.410749,22.23316804,46.8234104,36.70420804,6.264819566,2.319160802,17.30040747
69361826,approved,"Any rational person will understand Mr. Comey\'s sane assessment of the dilemma facing both the police and blacks: 96% of all shooting suspects in New York City are either black (75%) or Hispanic (21%). That leaves 4% of shooters who are white. Police, white and black, are not cynical. They\'re realistic. If the Sharptons and De Blasios and Holders of this world want to change things for the better, they should begin with their own constituents, who have shamefully demonstrated their socio-pathology all too often. It doesn\'t matter what its cause or excuse is (and there are plenty of excuses). Black crime rates are nuts! Point the finger of blame at the perps, not the people who are charged with protecting us.",1423762933,152,New York,Dawn Offtime,api.nytimes.com/svc/community/v2/comments/user/id/69361826.xml,1,14117914,0,49.07943931,0,2.91005293,59.68109339,44.01408451,79.71099856,40.730599,-73.986581,12.37410061,49.35235283,28.75868918,22.21362229,15.78947372,1.189874028
14523611,approved,"GOOD. Let us now have some leadership and dialogue from our nation\'s police leaders about the crisis existing between police and people of color. It\'s all about trust and once trust is lost it will be difficult (though not impossible) for it to be rebuilt. It must start now. Follow my blog \""Improving Police\"" on Wordpress for some ideas on how to move forward! Engage in this necessary dialogue!",1423762947,21,"Madison, WI",Chief David Couper,api.nytimes.com/svc/community/v2/comments/user/id/14523611.xml,1,14117935,0,37.03965804,0,15.49295768,46.46924829,24.64788732,48.30567181,43.074761,-89.383761,46.45528072,49.58463137,32.26415094,12.5,0,0.173422935
25197243,approved,"\""He said that the police needed to have more interactions with those they are charged to protect. \""It\'s hard to hate up close,\""ù he said.\""<br/><br/>I cannot argue with that. I would go further and suggest that is what policing is all about. Community policing should mean just that, being part of the community - Policing should be far more than just arresting the bad guys, but reassuring the public and being engaging with them.",1423762778,453,"Cambridge, England",AER,api.nytimes.com/svc/community/v2/comments/user/id/25197243.xml,1,14117937,1,100,0,9.523809524,39.17995444,26.05633803,97.03731335,52.203305,0.124862,24.70891662,20.73946548,9.950347566,59.03095975,14.84210521,6.299333089
4579722,approved,"FANTASTIC.  Thank you, Mr. Comey, for your frank and compassionate speech.",1423762784,62,Brooklyn,CK Johnson,api.nytimes.com/svc/community/v2/comments/user/id/4579722.xml,1,14117985,0,22.22921534,0,0,14.80637813,3.521126761,65.4828477,40.650104,-73.949582,32.09371963,35.02127748,23.00900234,39.90772779,17.64705872,1.038970537
70394470,approved,Thanks for opening up about the facts of police inter action with the public.   This should have been said long long ago.  From this it appears you have much more that could be said to help lead this country.,1423762818,9,Waxahachie. tx,louis. Johnson,api.nytimes.com/svc/community/v2/comments/user/id/70394470.xml,0,14118018,0,65.39092093,0,0,30.523918,13.38028169,34.86208805,32.388456,-96.928824,0,21.4953271,10.56603774,13.23529412,0,0
146411,approved,Sounds like a good start to a discussion. ,1423762824,31,TX,Ender,api.nytimes.com/svc/community/v2/comments/user/id/146411.xml,1,14118062,0,11.71514314,0,0,14.80637813,2.464788732,54.48508338,31.816038,-99.512099,35.16414173,15.75334352,8.241948419,12.06408738,2.013422702,5.725912935
21158409,approved,"Police all over the country are OUT OF CONTROL.  In Pasco, Washington this week police killed in a hail of bullets in a crowded grocery store parking lot an Hispanic man who was throwing rocks!  Police killings in this jurisdiction of 60,000, 4 in the last year, equal all others.  Police are the number one killers in Pasco.",1423771356,7,Las Vegas,Lilly,api.nytimes.com/svc/community/v2/comments/user/id/21158409.xml,1,14118072,0,47.55658667,0,0,39.17995444,20.42253521,30.87462778,36.166286,-115.149225,43.47759794,14.77906215,8.135551143,20.70433437,5.921052606,1.007893294
27830943,approved,I appreciate Mr. Comey\'s candor.,1423762839,102,Virginia,Daniel Pereira,api.nytimes.com/svc/community/v2/comments/user/id/27830943.xml,1,14118094,0,18.22787034,0,61.11111117,9.567198178,1.76056338,73.38176131,37.123224,-78.492772,24.26966512,31.18413202,19.36973103,27.33103879,11.17021291,1.376122252
66742458,approved,"If people of a certain profile commit the overwhelming number of crimes then that \""mental shortcut\"" is logical.<br/><br/>As an analogy. there is a reason why auto insurance rates are astronomically high for teenagers, and it is not because insurers hate teenagers but they are at highest risk of getting into accidents.  ",1423762860,87,Philly,RS,api.nytimes.com/svc/community/v2/comments/user/id/66742458.xml,1,14118153,0,14.24392078,0,0,43.0523918,17.95774648,70.85797406,44.045737,-121.265134,22.89037688,16.35587579,7.622017777,11.338461,3.364817103,34.09928463
